Date,AAPL,MSFT
11/10/2000,9.81,27.88
12/10/2000,10,27.19
13/10/2000,11.03,26.88
16/10/2000,10.75,25.19
17/10/2000,10.06,25.22
18/10/2000,10.06,25.88
19/10/2000,9.47,30.94
20/10/2000,9.75,32.59
23/10/2000,10.19,31.06
24/10/2000,9.44,30.75
25/10/2000,9.25,30.62
26/10/2000,9.25,32.22
27/10/2000,9.28,33.84
30/10/2000,9.66,34.53
31/10/2000,9.78,34.44
1/11/2000,10.25,34.81
2/11/2000,11.16,35.16
3/11/2000,11.12,34.12
6/11/2000,10.72,34.75
7/11/2000,10.66,35.25
8/11/2000,10.03,34.72
9/11/2000,10.09,35.44
10/11/2000,9.53,33.69
13/11/2000,9.69,33.22
14/11/2000,10.12,34.41
15/11/2000,9.94,35.03
16/11/2000,9.5,34.47
17/11/2000,9.25,34.53
20/11/2000,9.47,33.59
21/11/2000,9.41,33.88
22/11/2000,9.25,34.12
24/11/2000,9.66,34.97
27/11/2000,9.34,35.34
28/11/2000,9.02,33.5
29/11/2000,8.78,32.53
30/11/2000,8.25,28.69
1/12/2000,8.53,28.31
4/12/2000,8.34,28.22
5/12/2000,8.5,29.94
6/12/2000,7.16,28.34
7/12/2000,7.16,26.56
8/12/2000,7.53,27.22
11/12/2000,7.59,29.03
12/12/2000,7.69,29.19
13/12/2000,7.5,28.62
14/12/2000,7.22,27.75
15/12/2000,7.03,24.59
18/12/2000,7.12,23.91
19/12/2000,7,22.41
20/12/2000,7.19,20.75
21/12/2000,7.03,21.72
22/12/2000,7.5,23.22
26/12/2000,7.34,23.44
27/12/2000,7.41,23.22
28/12/2000,7.41,22.28
29/12/2000,7.44,21.69
2/01/2001,7.44,21.69
3/01/2001,8.19,23.97
4/01/2001,8.53,24.22
5/01/2001,8.19,24.56
8/01/2001,8.28,24.47
9/01/2001,8.59,25.91
10/01/2001,8.28,26.44
11/01/2001,9,27.5
12/01/2001,8.59,26.75
16/01/2001,8.56,26.28
17/01/2001,8.41,26.47
18/01/2001,9.34,27.81
19/01/2001,9.75,30.5
22/01/2001,9.62,30.06
23/01/2001,10.25,30.28
24/01/2001,10.25,31.47
25/01/2001,9.97,30.91
26/01/2001,9.78,32
29/01/2001,10.84,32.25
30/01/2001,10.88,31.69
31/01/2001,10.81,30.53
1/02/2001,10.56,31.19
2/02/2001,10.31,30.41
5/02/2001,10.09,30.97
6/02/2001,10.56,31.28
7/02/2001,10.38,32.34
8/02/2001,10.38,31.12
9/02/2001,9.56,29.56
12/02/2001,9.84,29.38
13/02/2001,9.56,29.09
14/02/2001,9.75,29.19
15/02/2001,10.03,29.41
16/02/2001,9.5,28.66
20/02/2001,9.16,27.94
21/02/2001,9.44,28.12
22/02/2001,9.41,27.59
23/02/2001,9.41,28.22
26/02/2001,9.75,29.78
27/02/2001,9.69,29.69
28/02/2001,9.12,29.5
1/03/2001,9.38,29.68
2/03/2001,9.62,28.34
5/03/2001,10.19,28.72
6/03/2001,10.75,29.72
7/03/2001,10.62,30.34
8/03/2001,10.41,29.62
9/03/2001,10.12,28.34
12/03/2001,9.31,25.97
13/03/2001,9.78,27.09
14/03/2001,10.22,27
15/03/2001,9.84,26.84
16/03/2001,9.81,27.28
19/03/2001,10.28,27.16
20/03/2001,9.84,26.34
21/03/2001,10.06,25.03
22/03/2001,10.81,27
23/03/2001,11.5,28.28
26/03/2001,10.89,28.03
27/03/2001,11.43,29.12
28/03/2001,11.08,27.78
29/03/2001,11.26,27.69
30/03/2001,11.04,27.34
2/04/2001,10.8,27.91
3/04/2001,10.12,26.69
4/04/2001,9.75,25.97
5/04/2001,10.43,28.38
6/04/2001,10.3,28.09
9/04/2001,10.27,28.58
10/04/2001,11.02,29.84
11/04/2001,10.9,30.5
12/04/2001,11.21,31.09
16/04/2001,10.72,30.39
17/04/2001,10.2,30.74
18/04/2001,11.39,32.72
19/04/2001,12.86,34.01
20/04/2001,12.52,34.5
23/04/2001,12.12,34.12
24/04/2001,12.01,33.78
25/04/2001,12.36,34.84
26/04/2001,12.34,34.57
27/04/2001,13.1,33.56
30/04/2001,12.74,33.88
1/05/2001,12.96,35.08
2/05/2001,13.3,34.88
3/05/2001,12.48,34.26
4/05/2001,12.88,35.38
7/05/2001,12.48,35.69
8/05/2001,12.28,36.03
9/05/2001,11.99,35.2
10/05/2001,11.5,35
11/05/2001,11.42,34.7
14/05/2001,11.64,34.36
15/05/2001,11.59,34.14
16/05/2001,12.05,34.58
17/05/2001,11.78,34.08
18/05/2001,11.76,34.04
21/05/2001,11.78,34.39
22/05/2001,11.75,35.16
23/05/2001,11.62,34.85
24/05/2001,11.6,35.86
25/05/2001,11.38,35.46
